trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999, 'e': 0.95}",20,0,-69.39399272165214,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.998001, 'e': 0.8999999999999999}",20,0,-69.88519560297766,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.997002999, 'e': 0.8499999999999999}",20,0,-22.982423918032538,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.996005996001, 'e': 0.7999999999999998}",35,0,-62.27663233644053,"{0: 23, 1: 6, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.995009990004999, 'e': 0.7499999999999998}",30,0,-33.227303134630105,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.994014980014994, 'e': 0.6999999999999997}",25,0,-106.96256390958519,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.993020965034979, 'e': 0.6499999999999997}",20,0,-70.93108907700403,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.9920279440699441, 'e': 0.5999999999999996}",25,0,-49.7292268536755,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.9910359161258742, 'e': 0.5499999999999996}",20,11,-50.25559479343079,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.9900448802097482, 'e': 0.4999999999999996}",25,0,-44.70009698043248,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.9890548353295385, 'e': 0.4499999999999996}",25,4,-172.39482585373858,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 4}",1
12,False,"{'a': 0.988065780494209, 'e': 0.39999999999999963}",30,22,14.568116122918978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.9870777147137147, 'e': 0.34999999999999964}",20,0,-62.01811153563498,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
14,False,"{'a': 0.986090636999001, 'e': 0.29999999999999966}",30,19,19.61842993474941,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9851045463620021, 'e': 0.24999999999999967}",20,0,23.60078975042151,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.98411944181564, 'e': 0.19999999999999968}",25,0,-6.380356118040334,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.9831353223738244, 'e': 0.1499999999999997}",20,15,0.6858730724151696,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9821521870514506, 'e': 0.09999999999999969}",20,6,12.234006253027385,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.9811700348643991, 'e': 0.049999999999999684}",25,18,13.224820485896313,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9801888648295347, 'e': -3.191891195797325e-16}",30,23,-27.480796970004903,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,32.23685522213497,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,13,12.44732283381085,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,6,-55.92400623051215,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,3,-13.105052638034147,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-17.14485842627167,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",35,0,-36.156538063126696,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,30.446909623417966,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,7,-13.421425652368699,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.876503649449507,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.576465975599193,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",25,14,7.34074864649069,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,6,-28.24611103911343,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,10,18.292395725439018,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",30,13,-74.05036554128176,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,True,"{'a': 0.0, 'e': 0.0}",35,21,26.138569415376264,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",30,9,-24.133696378174196,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,True,"{'a': 0.0, 'e': 0.0}",30,16,21.212896022530153,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
