trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999, 'e': 1.0}",25,0,-159.4875587637121,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.998001, 'e': 0.9048374180359595}",25,13,-17.063025024810685,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.997002999, 'e': 0.8187307530779818}",25,0,-50.09875725622361,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.996005996001, 'e': 0.7408182206817179}",20,0,-153.72207140394684,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.995009990004999, 'e': 0.6703200460356393}",25,0,-97.67665127829451,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.994014980014994, 'e': 0.6065306597126334}",25,13,1.4777188425069498,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.993020965034979, 'e': 0.5488116360940264}",20,10,4.264109922257019,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.9920279440699441, 'e': 0.49658530379140947}",20,0,-36.14596857088274,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.9910359161258742, 'e': 0.44932896411722156}",35,0,-70.41741664445647,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.9900448802097482, 'e': 0.4065696597405991}",25,0,-105.59342398942763,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.9890548353295385, 'e': 0.36787944117144233}",20,6,-44.72284422763434,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.988065780494209, 'e': 0.33287108369807955}",30,0,12.736229803199667,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.9870777147137147, 'e': 0.301194211912202}",20,0,-8.368400561571224,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.986090636999001, 'e': 0.2725317930340126}",25,0,-95.63176043427735,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.9851045463620021, 'e': 0.24659696394160643}",30,17,17.217136978726824,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.98411944181564, 'e': 0.22313016014842982}",30,0,10.466182736602377,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.9831353223738244, 'e': 0.20189651799465538}",20,11,7.491560021992812,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9821521870514506, 'e': 0.1826835240527346}",25,0,34.851562332943814,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.9811700348643991, 'e': 0.16529888822158653}",30,6,-1.1605780270923471,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.9801888648295347, 'e': 0.14956861922263504}",25,3,13.883665659699346,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.9792086759647052, 'e': 0.1353352832366127}",30,13,29.322782156125534,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9782294672887405, 'e': 0.1224564282529819}",25,10,9.764034990343323,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.9772512378214517, 'e': 0.11080315836233387}",20,6,14.200082789367373,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.9762739865836303, 'e': 0.1002588437228037}",35,0,57.37621312324506,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.9752977125970467, 'e': 0.09071795328941247}",25,16,20.509883025597606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9743224148844496, 'e': 0.0820849986238988}",25,0,22.178497299947665,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.9733480924695651, 'e': 0.07427357821433388}",20,0,9.774310194688756,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.9723747443770956, 'e': 0.06720551273974976}",25,15,-23.5831143407732,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.9714023696327185, 'e': 0.06081006262521795}",20,0,7.847172842417092,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.9704309672630859, 'e': 0.05502322005640721}",20,16,8.064233691108335,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9694605362958227, 'e': 0.049787068367863944}",25,14,23.193806540780827,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9684910757595269, 'e': 0.0450492023935578}",20,11,-9.050861972523904,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.9675225846837673, 'e': 0.04076220397836621}",20,11,20.228002037011386,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9665550620990835, 'e': 0.036883167401239994}",25,14,19.651501373705514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9655885070369844, 'e': 0.033373269960326066}",20,0,31.366851521056205,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.9646229185299474, 'e': 0.0301973834223185}",30,11,9.10394707289175,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 0.9636582956114175, 'e': 0.02732372244729256}",25,0,6.62911735940189,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
38,False,"{'a': 0.9626946373158061, 'e': 0.024723526470339388}",20,0,-12.403730422279711,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.9617319426784903, 'e': 0.02237077185616559}",25,3,41.03379608801209,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.9607702107358118, 'e': 0.02024191144580438}",20,0,30.212381257057643,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.959809440525076, 'e': 0.01831563888873418}",25,13,18.531140622540537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9588496310845509, 'e': 0.016572675401761237}",20,12,11.808480085138115,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9578907814534664, 'e': 0.014995576820477703}",25,15,12.848504433484477,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9569328906720129, 'e': 0.013568559012200934}",20,14,11.934651346643676,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9559759577813409, 'e': 0.012277339903068436}",20,0,29.18961933624451,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.9550199818235596, 'e': 0.011108996538242306}",20,8,21.33148790552521,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9540649618417361, 'e': 0.010051835744633576}",20,14,10.785893237798222,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9531108968798944, 'e': 0.009095277101695816}",20,11,18.069008225237102,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9521577859830145, 'e': 0.008229747049020023}",25,10,28.013057524277027,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9512056281970315, 'e': 0.007446583070924338}",30,5,16.81456377028927,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 0.9502544225688344, 'e': 0.006737946999085467}",25,14,19.922595334912586,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.9493041681462656, 'e': 0.006096746565515633}",20,9,-2.014145070961988,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
