trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,6,-119.22247726139918,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-283.1653042373952,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.63947176329656,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.04680318869702,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.08754452707875,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.662769092793376,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-79.44411154982741,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.02354230344314,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.20924839868536,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.88746980238648,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.94450748065046,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.7588513200439,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.7364536168442,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.26122424369387,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.37935460685328,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.79043881368132,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.50092513767231,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-7.606135394005056,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.00701797511874,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.25507186549073,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.27132565789251,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-164.72680914911894,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-228.78131991183935,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-247.93274510631812,"{0: 18, 1: 2, 2: 10, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.72057469055093,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,10,-4.05143095011193,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,1,-105.60728268066859,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-24.707127989559986,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.60956464821193,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.05746040802211,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
